
"Abura",aa775b
"Afara",d6ba8d
"African Blackwood",2e2b27
"African Mahogany",a47a5f
"African Walnut",794b33
"Afrormosia",be8b52
"Afzelia",bc8758
"Amboyna",733b2d
"Ambrosia Maple",c8a477
"American Beech",ccaa8a
"American Elm",caac86
"Andaman Padauk",8c411f
"Anigre",d6b083
"Apple",b19172
"Argentine Lignum Vitae",a38159
"Aromatic Red Cedar",aa7b6e
"Ash",c8a887
"Aspen",d6af89
"Australian Blackwood",8b6357
"Australian Cypress",bc9c73
"Avodire",cdae7e
"Balsa",e6d0bd
"Bamboo",f7d895
"Basswood",d8bc9e
"Birdseye Maple",d19a62
"Black And White Ebony",b99769
"Black Heartassafras",86725a
"Black Mesquite",7b6251
"Black Palm",554743
"Black Walnut",785540
"Black Willow",d0a87c
"Bocote",5c4c3e
"Bosse",b08969
"Box Elder",f9e5bb
"Boxwood",d7ab7e
"Brazilian Lacewood",bd9c81
"Brown Ebony",80654b
"Brownheart",7b674f
"Brown Oak",9b8164
"Bubinga",9c6f56
"Buckthorn",bc864d
"Butternut",d1ba9b
"Camphor",bca68b
"Canarywood",ba7f41
"Carpathian Elm Burl",78583d
"Cebil",bf9776
"Cedar Of Lebanon",be9b78
"Ceylonatinwood",bd9566
"Chakte Viga",97734f
"Chechen",735740
"Chinaberry",b38e6d
"Claro Walnut",927661
"Claro Walnut",776757
"Cocobolo",6b3a32
"Coffeetree",d59c6a
"Crack Willow",b8966b
"Cumaru",946a54
"Curly Maple",e5c1a1
"Cypress",debf9b
"Dalmata",705843
"Dogwood",d0ab96
"Douglas Fir",d9a877
"East Indian Rosewood",624e45
"Ebony",3d3936
"English Elm",d1a689
"English Holly",d1c19f
"English Oak",b69a78
"English Walnut",8b745b
"English Yew",d79f7c
"European Alder",d5a787
"European Ash",eacbb1
"European Beech",cda993
"European Larch",c7a486
"European Lime",e9cfb5
"Field Maple",c3aa90
"Garapa",bc9257
"Giant Chinkapin",bf9577
"Goncalo Alves",9f6e46
"Goncalo Alves",a9845f
"Granadillo",6d5143
"Hackberry",eedcb6
"Hard Maple",d4bc9c
"Holly",f9e4bc
"Holm Oak",af9879
"Honduran Mahogany",ac7748
"Honey Locust",c69a75
"Horse Chestnut",f1d7b3
"Hububali",8f7357
"Imbuya",755e44
"Indian Anjan",87664c
"Ipe",735649
"Iroko",c09a78
"Itin",5f463f
"Jarrah",8a594f
"Jatoba",926949
"Jicarillo",916d4f
"Katalox",5d4742
"Kauri",9e8164
"Kiaat",875e3f
"Kingwood",5c4944
"Koa",b78973
"Lacewood",9a7357
"Lati",d3a56d
"Lignum Vitae",49382b
"London Plane",c2997f
"Lyptus",c29776
"Macassar Ebony",3b362f
"Machiche",714530
"Madrone",d4b28e
"Magnolia",b9ac96
"Makore",ab7c5c
"Malaysian Blackwood",444439
"Mango",b89e78
"Mansonia",8b7256
"Marblewood",b78b6d
"Masur Birch",c3a077
"Merbau",6e5642
"Monkeypod",ba967f
"Monterey Cypress",cda382
"Mora",735f4e
"Mountain Ash",b79576
"Movingui",cfa56a
"Mun Ebony",3c3932
"Myrtle",ad9472
"Narra ",a6724b
"Northern White Cedar",ecd4ac
"Obeche",dcb98b
"Okoume",9b7a64
"Olive",a78666
"Olive Ash",cfa891
"Orange Agate",80543d
"Osage Orange",d8b56d
"Osage Orange",cea04a
"Ovangkol",97734f
"Padauk",83422e
"Panga Panga",6c5b4b
"Pau Ferro",91694e
"Pau Rosa",95674f
"Peroba Rosa",c18160
"Peruvian Walnut",6b594c
"Pheasantwood",665741
"Pink Ivory",d47668
"Pistachio",6d624e
"Plum",a88761
"Ponderosa Pine",f1dac0
"Primavera",ca9f7f
"Purpleheart Three Weeks",8b5b61
"Pyinma",8b7660
"Quebracho",956036
"Queensland Walnut",72604b
"Quilted Maple",9d7550
"Quina",956b58
"Red Alder",d0ac83
"Red Gum",7c7160
"Red Mulberry",cdae7a
"Red Palm",79593c
"Redwood",664230
"Rengas",8c5f49
"Royal Paulownia",d2b595
"Santos Mahogany",7f5b4e
"Sapele",a27967
"Sassafras",c9b088
"Shagbark Hickory",cfaf84
"She Oak",a87550
"Silky Oak",ab8567
"Silver Birch",debd9b
"Sitkapruce",f7d6a8
"Southern Blue Gum",d6b290
"Spalted Maple",e6c8a4
"Spalted Tamarind",f5d7a4
"Spanish Cedar",be8b5e
"Sumac",97835d
"Sweet Chestnut",b79879
"Swiss Pear",a37c66
"Sycamore",cdb499
"Sycamore Maple",dabeaa
"Tanoak",b09374
"Tatajuba",bf9563
"Teak",8d7152
"Tiete Rosewood",b2775a
"Tiger Caspi",8f6b3e
"Timborana",9d7859
"Tineo",8b6d57
"Tulipwood",b27960
"Utile",907059
"Verawood",997b50
"Wamara",583727
"Wenge",4e483e
"Western Red Cedar",b77e4b
"Western White Pine",dabe9f
"West Indianatinwood",cba87b
"White Poplar",c9a984
"Wild Cherry",c29a71
"Wormy Chestnut",a4876b
"Wych Elm",9c7a6a
"Yellow Birch",deba9f
"Yellowheart",daae6a
"Yellow Poplar",f8e4ba
"Yucatan Rosewood",886b50
"Zapote",62493f
"Zebrawood",d7b48a
"Ziricote",5c4f43


